time,distance
47,0.00000
96,0.00000
147,0.00000
196,0.00000
247,0.00000
297,0.00000
347,0.00000
398,0.00000
446,0.00000
497,0.00000
547,5.00031
597,5.00031
646,5.00031
697,5.00031
746,5.00031
796,5.00031
846,5.00031
896,5.00031
950,5.00031
996,5.00031
1045,5.00031
1095,5.00031
1146,5.00031
1197,5.00031
1247,5.00031
1296,5.00031
1346,5.00031
1396,5.00031
1446,5.00031
1496,5.00031
1547,5.00031
1597,5.00031
1646,5.00031
1697,5.00031
1746,5.00031
1797,5.00031
1846,5.00031
1896,5.00031
1957,5.00031
1997,5.00031
2046,5.00031
2098,5.00031
2147,5.00031
2198,5.00031
2247,5.00031
2298,5.00031
2347,5.00031
2397,5.00031
2446,5.00031
2501,5.00031
2546,5.00031
2602,5.00031
2647,5.00031
2700,5.00031
2748,5.00031
2797,5.00031
2847,5.00031
2900,5.00031
2958,5.00031
2995,5.00031
3046,5.00031
3096,5.00031
3146,5.00031
3198,5.00031
3246,5.00031
3297,5.00031
3347,5.00031
3398,5.00031
3446,5.00031
3496,5.00031
3546,5.00031
3597,5.00031
3646,5.00031
3697,5.00031
3746,5.00031
3798,5.00031
3847,5.00031
3898,5.00031
3959,5.00031
3997,5.00031
4046,5.00031
4097,5.00031
4147,5.00031
4197,5.00031
4247,5.00031
4297,5.00031
4347,5.00031
4397,5.00031
4446,5.00031
4498,5.00031
4547,5.00031
4597,5.00031
4647,5.00031
4697,5.00031
4747,5.00031
4798,5.00031
4847,5.00031
4897,5.00031
4957,5.00031
4997,5.00031
5047,5.00031
5097,5.00031
5147,5.00031
5197,5.00031
5248,5.00031
5297,5.00031
5346,5.00031
5397,5.00031
5448,5.00031
5498,5.00031
5548,5.00031
5598,5.00031
5646,5.00031
5699,5.00031
5749,5.00031
5796,5.00031
5847,5.00031
5897,5.00031
5951,5.00031
6004,5.00031
6047,5.00031
6097,5.00031
6149,5.00031
6198,5.00031
6247,5.00031
6298,5.00031
6348,5.00031
6396,5.00031
6447,5.00031
6497,5.00031
6546,5.00031
6597,5.00031
6646,5.00031
6697,5.00031
6746,5.00031
6796,5.00031
6847,5.00031
6897,5.00031
6947,5.00031
6995,5.00031
7048,5.00031
7096,5.00031
7146,5.00031
7198,5.00031
7248,5.00031
7301,5.00031
7347,5.00031
7397,5.00031
7448,5.00031
7499,5.00031
7546,5.00031
7601,5.00031
7648,5.00031
7697,5.00031
7747,5.00031
7797,5.00031
7848,5.00031
7898,5.00031
7947,5.00031
7997,5.00031
8049,5.00031
8096,5.00031
8147,5.00031
8198,5.00031
8248,5.00031
8297,5.00031
8352,5.00031
8398,5.00031
8448,5.00031
8496,5.00031
8547,5.00031
8596,5.00031
8646,5.00031
8698,5.00031
8748,5.00031
8796,5.00031
8846,5.00031
8896,5.00031
8947,5.00031
8997,5.00031
9049,5.00031
9096,5.00031
9147,5.00031
9196,5.00031
9247,5.00031
9297,5.00031
9347,5.00031
9397,5.00031
9446,5.00031
9500,5.00031
9547,5.00031
9597,5.00031
9646,5.00031
9698,5.00031
9748,5.00031
9797,5.00031
9847,5.00031
9897,5.00031
9946,5.00031
9998,5.00031
10065,5.00031
10099,5.00031
10146,5.00031
10198,5.00031
10247,5.00031
10298,5.00031
10351,5.00031
10397,5.00031
10447,5.00031
10497,5.00031
10547,5.00031
10599,5.00031
10647,5.00031
10698,5.00031
10747,5.00031
10798,5.00031
10848,5.00031
10897,5.00031
10949,5.00031
10998,5.00031
11046,5.00031
11102,5.00031
11146,5.00031
11197,5.00031
11247,5.00031
11298,5.00031
11347,5.00031
11399,5.00031
11447,5.00031
11496,5.00031
11546,5.00031
11596,5.00031
11647,5.00031
11698,5.00031
11747,5.00031
11796,5.00031
11846,5.00031
11899,5.00031
11947,5.00031
11997,5.00031
12047,5.00031
12103,5.00031
12150,5.00031
12197,5.00031
12246,5.00031
12298,5.00031
12348,5.00031
12397,5.00031
12446,5.00031
12499,5.00031
12548,5.00031
12599,5.00031
12647,5.00031
12696,5.00031
12747,5.00031
12797,5.00031
12846,5.00031
12898,5.00031
12947,5.00031
12997,5.00031
13047,5.00031
13097,5.00031
13159,5.00031
13195,5.00031
13248,5.00031
13296,5.00031
13349,5.00031
13397,5.00031
13446,5.00031
13497,5.00031
13546,5.00031
13598,5.00031
13646,5.00031
13697,5.00031
13747,5.00031
13797,5.00031
13847,5.00031
13897,5.00031
13949,5.00031
13998,5.00031
14047,5.00031
14098,5.00031
14151,5.00031
14197,5.00031
14246,5.00031
14298,5.00031
14347,5.00031
14398,5.00031
14446,5.00031
14496,5.00031
14546,5.00031
14597,5.00031
14647,5.00031
14698,5.00031
14747,5.00031
14798,5.00031
14848,5.00031
14899,5.00031
14947,5.00031
14998,5.00031
15048,5.00031
15097,5.00031
15147,5.00031
15206,5.00031
15246,5.00031
15296,5.00031
15346,5.00031
15398,5.00031
15448,5.00031
15496,5.00031
15547,5.00031
15597,5.00031
15647,5.00031
15696,5.00031
15747,5.00031
15797,5.00031
15847,5.00031
15897,5.00031
15947,5.00031
15997,5.00031
16047,5.00031
16098,5.00031
16147,5.00031
16201,5.00031
16245,5.00031
16297,5.00031
16346,5.00031
16397,5.00031
16447,5.00031
16495,5.00031
16547,5.00031
16597,5.00031
16646,5.00031
16697,5.00031
16746,5.00031
16797,5.00031
16847,5.00031
16898,5.00031
16946,5.00031
16997,5.00031
17049,5.00031
17098,5.00031
17146,5.00031
17196,5.00031
17255,5.00031
17296,5.00031
17346,5.00031
17396,5.00031
17446,5.00031
17497,5.00031
17546,5.00031
17596,5.00031
17646,5.00031
17697,5.00031
17747,5.00031
17796,5.00031
17846,5.00031
17898,5.00031
17946,5.00031
17998,5.00031
18047,5.00031
18097,5.00031
18148,5.00031
18198,5.00031
18250,5.00031
18296,5.00031
18346,5.00031
18397,5.00031
18445,5.00031
18497,5.00031
18547,5.00031
18598,5.00031
18648,5.00031
18697,5.00031
18746,5.00031
18797,5.00031
18847,5.00031
18898,5.00031
18947,5.00031
18998,5.00031
19047,5.00031
19097,5.00031
19147,5.00031
19197,5.00031
19257,5.00031
19297,5.00031
19346,5.00031
19398,5.00031
19446,5.00031
19499,5.00031
19547,5.00031
19597,5.00031
19648,5.00031
19698,5.00031
19748,5.00031
19797,5.00031
19846,5.00031
19898,5.00031
19946,5.00031
19997,5.00031
20047,5.00031
20098,5.00031
20148,5.00031
20198,5.00031
20251,5.00031
20296,5.00031
20346,5.00031
20396,5.00031
20446,5.00031
20496,5.00031
20547,5.00031
20597,5.00031
20647,5.00031
20698,5.00031
20747,5.00031
20796,5.00031
20846,5.00031
20896,5.00031
20946,5.00031
20998,5.00031
21047,5.00031
21099,5.00031
21147,5.00031
21197,5.00031
21247,5.00031
21312,5.00031
21346,5.00031
21396,5.00031
21446,5.00031
21498,5.00031
21546,5.00031
21598,5.00031
21647,5.00031
21698,5.00031
21746,5.00031
21800,5.00031
21847,5.00031
21896,5.00031
21946,5.00031
21998,5.00031
22046,5.00031
