time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
107990,39,3729,31.3,-9223372036854775808,858000,0
108994,39,3729,31.3,-9223372036854775808,858000,0
109990,39,3729,31.3,-9223372036854775808,858000,0
110990,39,3729,31.3,-9223372036854775808,858000,0
111992,39,3729,31.3,-9223372036854775808,858000,0
112991,39,3729,31.3,-9223372036854775808,596000,0
113995,39,3729,31.3,-9223372036854775808,596000,0
115049,39,3729,31.3,-9223372036854775808,596000,0
116043,39,3729,31.3,-9223372036854775808,596000,0
117099,39,3729,31.3,-9223372036854775808,596000,0
118090,39,3729,31.3,-9223372036854775808,596000,0
119091,39,3729,31.3,-9223372036854775808,609000,0
120139,39,3729,31.3,-9223372036854775808,609000,0
121139,39,3729,31.3,-9223372036854775808,609000,0
122143,39,3729,31.3,-9223372036854775808,609000,0
123193,39,3729,31.3,-9223372036854775808,609000,0
124190,39,3729,31.3,-9223372036854775808,669000,0
125242,39,3729,31.3,-9223372036854775808,669000,0
126246,39,3729,31.3,-9223372036854775808,669000,0
127243,39,3729,31.3,-9223372036854775808,669000,0
128249,39,3729,31.3,-9223372036854775808,669000,0
129245,39,3729,31.3,-9223372036854775808,669000,0
130299,39,3729,31.3,-9223372036854775808,589000,0
131292,39,3729,31.3,-9223372036854775808,589000,0
132292,39,3729,31.3,-9223372036854775808,589000,0
133352,39,3729,31.3,-9223372036854775808,589000,0
134341,39,3729,31.3,-9223372036854775808,589000,0
135346,39,3729,31.3,-9223372036854775808,589000,0
136342,39,3729,31.3,-9223372036854775808,553000,0
137348,39,3729,31.3,-9223372036854775808,553000,0
138348,39,3729,31.3,-9223372036854775808,553000,0
139356,39,3729,31.3,-9223372036854775808,553000,0
140393,39,3729,31.3,-9223372036854775808,553000,0
141397,39,3729,31.3,-9223372036854775808,553000,0
142393,39,3729,31.3,-9223372036854775808,590000,0
143441,39,3729,31.3,-9223372036854775808,590000,0
144443,39,3729,31.3,-9223372036854775808,590000,0
145446,39,3729,31.3,-9223372036854775808,590000,0
146450,39,3729,31.3,-9223372036854775808,590000,0
147440,39,3729,31.3,-9223372036854775808,590000,0
148452,39,3729,31.3,-9223372036854775808,1365000,0
149451,39,3729,31.3,-9223372036854775808,1365000,0
