time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
87838,22.31982320,87.30766400,4,-11.00000,3.97000,34,19
88838,22.31982920,87.30770840,4,-10.00000,4.09000,34,19
89886,22.31983850,87.30774220,4,-10.00000,3.90000,34,19
90895,22.31983600,87.30779110,4,-9.00000,4.17000,34,19
91903,22.31982810,87.30781590,4,-13.00000,3.42000,33,19
92946,22.31983020,87.30785540,4,-13.00000,3.47000,33,18
93937,22.31983500,87.30789610,4,-15.00000,3.60000,33,15
94952,22.31984150,87.30792650,4,-15.00000,3.60000,32,14
95952,22.31984500,87.30795770,4,-16.00000,3.23000,32,15
96940,22.31986160,87.30801090,4,-17.00000,4.18000,30,11
97937,22.31987660,87.30806470,4,-16.00000,3.38000,32,13
98945,22.31987870,87.30809550,5,-15.00000,3.24000,31,13
99943,22.31987780,87.30813410,5,-15.00000,4.08000,32,14
100992,22.31987770,87.30816200,4,-15.00000,2.87000,33,15
101985,22.31987880,87.30819650,4,-15.00000,3.41000,33,16
102986,22.31987790,87.30823400,4,-14.00000,4.01000,33,16
103991,22.31987550,87.30827210,4,-14.00000,3.49000,34,16
105044,22.31987590,87.30831080,4,-14.00000,3.35000,31,13
106088,22.31986680,87.30834830,5,-13.00000,4.07000,34,17
107095,22.31986120,87.30837860,5,-14.00000,3.02000,32,16
108085,22.31985670,87.30840580,4,-14.00000,3.41000,32,15
109090,22.31985200,87.30844400,4,-14.00000,4.16000,32,15
110087,22.31984940,87.30848490,4,-14.00000,4.12000,33,17
111138,22.31985040,87.30852890,4,-14.00000,4.15000,33,16
112147,22.31985670,87.30857180,4,-13.00000,3.91000,32,15
113141,22.31986830,87.30861030,4,-13.00000,4.26000,32,15
114157,22.31989350,87.30864610,4,-14.00000,4.39000,31,13
115139,22.31992560,87.30867640,4,-14.00000,4.37000,31,12
116138,22.31996090,87.30869810,4,-13.00000,4.17000,34,13
117148,22.31999600,87.30871770,4,-15.00000,4.28000,33,15
118154,22.32003340,87.30872990,4,-14.00000,4.17000,34,16
119140,22.32006850,87.30874650,4,-13.00000,3.91000,33,17
120148,22.32010490,87.30876370,4,-12.00000,4.08000,32,17
121146,22.32013870,87.30878020,4,-12.00000,4.15000,31,15
122151,22.32017560,87.30880980,4,-13.00000,4.37000,34,18
123156,22.32021010,87.30883810,4,-13.00000,3.77000,31,15
124147,22.32024180,87.30885280,4,-13.00000,3.67000,34,17
125156,22.32027830,87.30887510,4,-13.00000,4.11000,34,17
126187,22.32031170,87.30889220,3,-13.00000,3.57000,30,13
127270,22.32034790,87.30892330,4,-14.00000,4.29000,33,15
128306,22.32038260,87.30894560,4,-14.00000,3.57000,33,15
129346,22.32041250,87.30896450,4,-13.00000,3.63000,33,15
130395,22.32044340,87.30898300,4,-13.00000,3.90000,32,15
131441,22.32050160,87.30901760,4,-13.00000,3.41000,33,15
132473,22.32050160,87.30901760,4,-13.00000,3.41000,33,15
133473,22.32053700,87.30903250,4,-13.00000,3.53000,30,14
134469,22.32056130,87.30902220,4,-13.00000,2.91000,30,14
135488,22.32059600,87.30897940,4,-14.00000,2.74000,33,17
136495,22.32059600,87.30897940,4,-14.00000,2.74000,33,17
137487,22.32063810,87.30892370,5,-15.00000,3.09000,33,17
138492,22.32063810,87.30892370,5,-15.00000,3.09000,33,17
139539,22.32066420,87.30889560,6,-16.00000,2.32000,30,14
140537,22.32067690,87.30887440,5,-16.00000,3.46000,33,17
141547,22.32069670,87.30883820,5,-16.00000,3.72000,30,14
142613,22.32071460,87.30879750,5,-17.00000,4.17000,31,15
143605,22.32073480,87.30875840,5,-18.00000,3.38000,30,13
144651,22.32075490,87.30872120,5,-19.00000,3.32000,32,16
145666,22.32077210,87.30869040,5,-19.00000,3.32000,32,16
146660,22.32079800,87.30864600,5,-20.00000,3.46000,29,14
147700,22.32081260,87.30861820,5,-19.00000,2.93000,32,17
148698,22.32082610,87.30859310,6,-20.00000,2.93000,32,17
149696,22.32083960,87.30856140,5,-19.00000,3.12000,32,16
150704,22.32085040,87.30853130,5,-21.00000,2.06000,33,17
151700,22.32086160,87.30850360,5,-20.00000,2.76000,32,16
152748,22.32088120,87.30847100,6,-19.00000,3.93000,31,13
153755,22.32089750,87.30844240,5,-19.00000,2.69000,30,12
154750,22.32091280,87.30841800,5,-18.00000,2.41000,33,15
155806,22.32092690,87.30839670,5,-18.00000,1.96000,31,14
156809,22.32093950,87.30837900,5,-19.00000,1.40000,33,16
157787,22.32094750,87.30836120,5,-18.00000,1.13000,27,10
158789,22.32095400,87.30834940,6,-18.00000,1.13000,27,10
159799,22.32095390,87.30834000,6,-19.00000,0.00000,34,16
